firstname,surname,Make,Plate,Phone,Date,1
HalldÑr Kiljan,Laxness,Toyota ,BR79311,6974827,21/08/20,10
Claude,Cohen-Tannoudji,Toyota ,BN51025,6974950,22/08/20,9
Robert,Koch,Honda ,E238060,216868,22/08/20,12
Milton,Friedman,Skoda ,Y714442,2891077,22/08/20,15
Rabindranath,Tagore,Opel ,AEY8510,2891050,24/08/20,10
Artturi Ilmari,Virtanen,Volkswagen ,BL83684,6974818,25/08/20,10
Julius,Wagner-Jauregg,Peugeot ,Z264420,2891111,25/08/20,14
Sir Frank Macfarlane,Burnet,Opel ,BU36980,2891088,26/08/20,16
Wangari Muta,Maathai,Toyota ,BH90631,2891043,27/08/20,15
Elfriede,Jelinek,Volvo ,WB1578,2891065,27/08/20,9
Robert W.,Fogel,Toyota ,Z343741,6974900,27/08/20,11
Eric S.,Maskin,Toyota ,AP35791,2891076,28/08/20,13
George Bernard,Shaw,BMW ,AE60890,2891014,29/08/20,12
Claude,Cohen-Tannoudji,Audi ,AL76432,2891071,29/08/20,9
James Batcheller,Sumner,Mitsubishi ,BT72526,2891081,29/08/20,15
Paul Hermann,MÙller,Volvo ,Z489643,2891114,31/08/20,13
Grazia,Deledda,Toyota ,478294,6974865,01/09/20,12
Selman Abraham,Waksman,Volkswagen ,Q393822,6974937,02/09/20,14
Douglass C.,North,Volvo ,BL91316,6974875,02/09/20,10
Andr_ Paul Guillaume,Gide,Volvo ,BM91500,216881,04/09/20,11
Albert,Camus,Opel ,K108655,216871,04/09/20,14
Mother Teresa,,Ford ,2400792B,2891048,04/09/20,16
Georg,von B_k_sy,Audi ,Y937616,216875,04/09/20,10
Frederick,Sanger,Mitsubishi ,355RET,6974738,04/09/20,13
Peyton,Rous,Opel ,BB71438,6974897,05/09/20,14
Johannes Diderik,van der Waals,Toyota ,Z446028,2890921,05/09/20,10
Giorgos,Seferis,Volkswagen ,3777265,6974903,06/09/20,14
Jan,Tinbergen,Volkswagen ,AB21603,6974914,07/09/20,14
Kai M.,Siegbahn,Volkswagen ,AT93307,2891027,08/09/20,9
Samuel,Beckett,Nissan ,AQ18734,2891011,09/09/20,9
Charles Hard,Townes,Volkswagen ,BD91742,6974904,10/09/20,16
Charles Kuen,Kao,Peugeot ,,1719796,12/09/20,13
Georges,Charpak,Volkswagen ,Q508924,216853,12/09/20,12
Hermann,Staudinger,Volkswagen ,Z868619,216862,12/09/20,10
Wladyslaw Stanislaw,Reymont,Toyota ,X898482,6974933,12/09/20,11
Roy J.,Glauber,Toyota ,AX38224,216859,13/09/20,11
Patrick,White,Toyota ,AG35362,6974952,13/09/20,16
George J.,Stigler,Skoda ,BR75659,6974829,14/09/20,15
Hans,Spemann,Honda ,917U578,6974860,15/09/20,13
Roger W.,Sperry,Toyota ,AN94586,6974917,16/09/20,12
Archibald Vivian,Hill,Toyota ,DWD2797,6974912,17/09/20,16
Robert Andrews,Millikan,Nissan ,422VPT,6974837,17/09/20,11
Sigrid,Undset,Ford ,AT60188,6974927,17/09/20,14
Karl,Landsteiner,Toyota ,ZX75269,2891110,18/09/20,16
Albert Abraham,Michelson,Volkswagen ,QHSN5ZJ,6974711,19/09/20,13
Emily Greene,Balch,Honda ,2715720B,6974901,19/09/20,15
Vernon L.,Smith,Peugeot ,AW21634,2891029,19/09/20,9
Axel Hugo Theodor,Theorell,Ford ,AP82172,6974928,20/09/20,13
Adolf Friedrich Johann,Butenandt,Ford ,AH68649,6974762,20/09/20,11
Prince Louis-Victor Pierre Raymond,de Broglie,Ford ,AX87932,6974909,20/09/20,10
Henry,Taube,Ford ,340833,2890880,21/09/20,13
Herbert A.,Simon,Ford ,AX31453,2890974,22/09/20,9
Paul,Berg,Toyota ,BB95340,6974889,25/09/20,14
Otto,Hahn,Opel ,BL84597,6974932,25/09/20,12
Jules,Bordet,Volkswagen ,BC44716,2891041,26/09/20,13
Serge,Haroche,Honda ,BP25647,6974915,28/09/20,10
Robert M.,Solow,Opel ,E992396,216880,28/09/20,15
Rudolf Ludwig,M_ssbauer,Nissan ,BF21507,2890975,29/09/20,10
William,Faulkner,BMW ,AT50125,6974823,29/09/20,16
Daniel L.,McFadden,Honda ,AU34777,6974877,29/09/20,13
Luis Walter,Alvarez,Toyota ,AH36580,6974842,30/09/20,12
Steven,Chu,Audi ,Z540208,6974941,01/10/20,10
Mairead,Corrigan,Toyota ,,1719794,02/10/20,15
Aaron,Klug,Audi ,Y992971,216889,04/10/20,13
Paul J.,Flory,Honda ,A107439,6974880,05/10/20,11
Elizabeth H.,Blackburn,Opel ,E336665,216874,07/10/20,13
Baroness Bertha Sophie Felicita,"von Suttner, n_e Countess Kinsky von Chinic und Tettau",Skoda ,AY13002,6974876,08/10/20,16
Robert E.,Lucas Jr.,Toyota ,CJX113,6974918,08/10/20,15
Frans Eemil,Sillanp__,Ford ,AFW2338,216887,09/10/20,16
Charles Kuen,Kao,Skoda ,A788998,6974935,10/10/20,15
John,Galsworthy,Ford ,R824610,2891067,10/10/20,13
Paul Johann Ludwig,Heyse,Volvo ,2380286B,6974893,12/10/20,16
Fritz,Pregl,Ford ,BH68150,216867,12/10/20,11
Georges,Charpak,Toyota ,TANYA,1719793,13/10/20,11
Isidor Isaac,Rabi,Skoda ,BB29029,2890923,15/10/20,15
Nils Gustaf,Dal_n,Peugeot ,N507150,6974949,15/10/20,10
Victor Franz,Hess,Toyota ,Q862871,2891120,16/10/20,13
Frederick,Soddy,Toyota ,BU25817,2891097,16/10/20,14
Petrus (Peter) Josephus Wilhelmus,Debye,Peugeot ,R882765,2891061,17/10/20,11
Richard Adolf,Zsigmondy,Toyota ,EBZ9523,2891023,17/10/20,14
Gao,Xingjian,Volvo ,AV93179,2891122,18/10/20,10
Ilya,Prigogine,Audi ,1946126,2891124,19/10/20,9
Andre,Geim,Ford ,5967U244,6974873,19/10/20,10
Stanley B.,Prusiner,Ford ,BH70941,6974908,19/10/20,13
Aziz,Sancar,Volkswagen ,AGV8503,2890920,21/10/20,13
Peter D.,Mitchell,Peugeot ,BH96251,2891054,23/10/20,14
Ragnar,Frisch,Volkswagen ,AS31510,6974883,23/10/20,15
Albert,Einstein,Honda ,BU74113,2890960,24/10/20,14
Angus,Deaton,Peugeot ,P676842,216884,24/10/20,13
Leymah,Gbowee,Ford ,R968342,2891119,24/10/20,9
Sinclair,Lewis,Ford ,,6974698,25/10/20,16
Arne Wilhelm Kaurin,Tiselius,Toyota ,BH16434,6974812,25/10/20,13
Kurt,WÙthrich,Volkswagen ,AP20427,2891031,26/10/20,10
Pierre-Gilles,de Gennes,Volkswagen ,R961367,216869,26/10/20,16
Tawakkol,Karman,Volvo ,BP23152,6974907,27/10/20,15
Paul,Karrer,Nissan ,E800584,6974855,27/10/20,14
Isaac Bashevis,Singer,Ford ,Q986433,2891106,27/10/20,16
Irène,Joliot-Curie,Audi ,BN71323,2891053,27/10/20,13
George A.,Olah,Ford ,7753,2891092,28/10/20,13
Oliver E.,Williamson,Volkswagen ,H743675,2891040,29/10/20,16
Polykarp,Kusch,Toyota ,813400,2890911,29/10/20,9
Emil Theodor,Kocher,Skoda ,2445801,6974710,30/10/20,13
Linda B.,Buck,Toyota ,BFE390,2891105,30/10/20,11
Dennis,Gabor,Peugeot ,Z868991,1539634,30/10/20,10
Charles Thomson Rees,Wilson,Nissan ,,1539632,31/10/20,15
Gabriela,Mistral,Ford ,R601989,216879,01/11/20,9
Pearl,Buck,Ford ,MGP13,6974943,02/11/20,11
Hans Adolf,Krebs,Mitsubishi ,BC44535,2891099,04/11/20,9
Fritz Albert,Lipmann,Volvo ,BN85663,2891047,06/11/20,14
Henrik,Pontoppidan,Audi ,BB33378,6974882,07/11/20,16
Juan RamÑn,Jim_nez,Peugeot ,SENSIBH,6974879,07/11/20,13
Robert F.,Engle III,Toyota ,0896XF,2890916,08/11/20,15
Robert C.,Merton,Audi ,AU33978,2891046,09/11/20,13
Gerhard,Herzberg,Volkswagen ,L647520,6974854,09/11/20,12
Sir Edward Victor,Appleton,Toyota ,AL96031,6974939,09/11/20,15
Marie,"Curie, n_e Sklodowska",Volkswagen ,BR68558,6974947,10/11/20,10
Myron S.,Scholes,Volkswagen ,BR38023,2891074,10/11/20,12
Leonid,Hurwicz,Volkswagen ,AG20853,6974887,11/11/20,14
Shirin,Ebadi,Skoda ,AS79355,2891113,11/11/20,16
Kenneth G.,Wilson,Volvo ,BE90546,2890995,12/11/20,11
Thomas Stearns,Eliot,Nissan ,100V486,6974822,13/11/20,13
Miguel Angel,Asturias,Ford ,BE5350,2890896,14/11/20,11
Doris,Lessing,BMW ,AF27208,6974858,14/11/20,15
Juan Manuel,Santos,Audi ,,6974836,15/11/20,13
Camilo Jos_,Cela,Skoda ,BF15636,2891117,16/11/20,9
Konstantin,Novoselov,Toyota ,E239676,6974930,17/11/20,11
Jaroslav,Heyrovsky,Toyota ,AW76485,6974847,17/11/20,15
Jean,Tirole,Volkswagen ,V548279,2891082,17/11/20,16
Jane,Addams,Toyota ,63236,2891091,17/11/20,12
Martinus J.G.,Veltman,Ford ,AH39333,2891044,17/11/20,14
Roger B.,Myerson,Volkswagen ,AX94014,6974899,19/11/20,13
Robert,Bàràny,Audi ,294270,2890944,19/11/20,10
Adolf Friedrich Johann,Butenandt,Volkswagen ,2378401,2891010,20/11/20,12
Malala,Yousafzai,Honda ,BL86748,2891035,20/11/20,15
Rudolph A.,Marcus,Audi ,N805396,6974926,20/11/20,9
Wislawa,Szymborska,Opel ,G694655,2891033,21/11/20,10
Vladimir,Prelog,Toyota ,V428468,1539629,21/11/20,12
Roger D.,Kornberg,Toyota ,8059094,1539625,21/11/20,15
James J.,Heckman,Opel ,BL83517,6974898,22/11/20,13
Christian B.,Anfinsen,Nissan ,BE88357,2890904,22/11/20,14
The (Theodor),Svedberg,Peugeot ,AX14549,2890887,23/11/20,12
Peter Brian,Medawar,Saab ,FL547ABX,2891094,25/11/20,11
Otto Heinrich,Warburg,Nissan ,AT18467,2891059,26/11/20,13
Tomas,Transtr_mer,Volvo ,AS81908,2891039,26/11/20,9
Ilya,Prigogine,Skoda ,BR71585,6974841,27/11/20,10
Svetlana,Alexievich,Volkswagen ,944U606,6974881,27/11/20,12
Robert S.,Mulliken,Saab ,AN39697,6974920,28/11/20,15
Sir Chandrasekhara Venkata,Raman,Volkswagen ,1757575B,2890913,28/11/20,14
Amartya,Sen,Mitsubishi ,G878516,2891112,30/11/20,14
Toni,Morrison,Volkswagen ,AZ44194,2891025,01/12/20,13
May-Britt,Moser,Toyota ,NNTENSE,2891037,02/12/20,11
Brian David,Josephson,Volkswagen ,998U466,2890966,02/12/20,14
Rigoberta,MenchÏ Tum,Peugeot ,,6974839,04/12/20,15
Odysseus,Elytis,Audi ,E554968,2890899,05/12/20,10
Sir Vidiadhar Surajprasad,Naipaul,Toyota ,BC34558,2891089,07/12/20,16
Bernardo Alberto,Houssay,Skoda ,AD65634,2891051,07/12/20,10
Hans,Fischer,Ford ,N556384,2890988,08/12/20,16
Walter Norman,Haworth,Volvo ,BH24806,6974913,09/12/20,9
Robert,Hofstadter,Skoda ,ZY93549,6974696,09/12/20,10
Joseph,Brodsky,Toyota ,BH80195,2891057,10/12/20,10
Dorothy Crowfoot,Hodgkin,Volkswagen ,BN84731,2891038,14/12/20,15
Nicolay Gennadiyevich,Basov,Toyota ,Q727116,2891052,14/12/20,14
William,Golding,Toyota ,R208449,2890888,14/12/20,10
Boris Leonidovich,Pasternak,Audi ,BM15598,6974894,15/12/20,13
Charles Brenton,Huggins,Volvo ,AY35334,6974929,15/12/20,14
Lord Rayleigh,(John William Strutt),Toyota ,BG92961,6974905,16/12/20,10
Christiane,NÙsslein-Volhard,Volkswagen ,ZY94519,2891075,16/12/20,11
Johannes Andreas Grib,Fibiger,Ford ,BL53317,2891126,17/12/20,12
Patrick Maynard Stuart,Blackett,Audi ,Z569756,2891128,18/12/20,12
Willard Frank,Libby,Ford ,AP85403,1539627,19/12/20,11
Ada E.,Yonath,Volkswagen ,723U199,2891060,20/12/20,15
Niels Henrik David,Bohr,Toyota ,304716,6974826,21/12/20,9
Marie,"Curie, n_e Sklodowska",Volvo ,Y891074,2891055,21/12/20,13
Betty,Williams,Peugeot ,BL16046,2891096,21/12/20,14
Irving,Langmuir,Volkswagen ,BA91217,216893,21/12/20,15
Ronald H.,Coase,Audi ,BF18916,216894,22/12/20,11
Jean-Paul,Sartre,Toyota ,Q181034,2890993,22/12/20,16
Jean-Marie Gustave,Le Cl_zio,Ford ,A721424,6974938,22/12/20,10
Richard R.,Ernst,Volkswagen ,BA62703,2891045,22/12/20,15
Ellen,Johnson Sirleaf,Peugeot ,E786415,2891123,26/12/20,16
William Alfred,Fowler,Volkswagen ,611U624,2890893,27/12/20,15
Louis Eugène F_lix,N_el,Ford ,L610496,6974864,28/12/20,9
Gerhard,Ertl,Nissan ,Y953021,2890992,29/12/20,12
Henryk,Sienkiewicz,Saab ,651633,6974940,30/12/20,10
Johannes,Stark,Audi ,BA39537,6974846,30/12/20,12
Max,von Laue,Ford ,890U399,6974925,30/12/20,15
Harald,zur Hausen,Volkswagen ,BG75677,6974851,30/12/20,9
Knut Pedersen,Hamsun,Volkswagen ,CJP1647,2890983,31/12/20,11
